dyscyplina	postępowania	z obecnością członka CK	 C/B [%]	K50
agronomia	145	130	90	2
archeologia	86	13	15	5
architektura i urbanistyka	124	60	48	3
astronomia	35	1	3	3
automatyka i robotyka	65	62	95	2
bibliologia i informatologia	43	20	47	2
biochemia	50	50	100	3
biocybernetyka i inżynieria biomedyczna	51	44	86	2
biofizyka	33	18	55	3
biologia	478	451	94	6
biologia medyczna	355	195	55	12
biotechnologia	72	68	94	6
budowa i eksploatacja maszyn	290	276	95	3
budownictwo	130	88	68	2
chemia	453	447	99	6
drzewnictwo	23	21	91	1
dyrygentura	54	33	61	2
dziedzina: 	1	1	100	1
dziedzina: dz. nauk ekonomicznych	2	2	100	1
dziedzina: dz. nauk społecznych	1	0	0	1
dziedzina: dz. nauk technicznych	3	3	100	2
ekologia	41	37	90	1
ekonomia	486	453	93	4
elektronika	116	110	95	1
elektrotechnika	106	84	79	2
energetyka	26	25	96	1
etnologia	44	9	20	3
farmacja	30	22	73	2
filozofia	200	154	77	2
finanse	158	153	97	2
fizyka	478	40	8	22
geodezja i kartografia	83	64	77	2
geofizyka	21	3	14	2
geografia	160	131	82	3
geologia	79	62	78	2
górnictwo i geologia inżynierska	73	57	78	1
historia	331	315	95	2
historia sztuki	38	17	45	2
informatyka	226	206	91	2
instrumentalistyka	188	177	94	3
inżynieria chemiczna	53	45	85	1
inżynieria materiałowa	173	76	44	4
inżynieria produkcji	11	11	100	1
inżynieria rolnicza	51	43	84	1
inżynieria środowiska	198	122	62	1
językoznawstwo	431	393	91	2
kompozycja i teoria muzyki	61	57	93	1
konserwacja i restauracja dzieł sztuki	12	8	67	1
kulturoznawstwo	121	29	24	5
leśnictwo	44	44	100	1
literaturoznawstwo	514	137	27	15
matematyka	162	14	9	11
mechanika	123	123	100	2
medycyna	1030	457	44	27
metalurgia	42	28	67	2
mikrobiologia	16	15	94	2
nauki farmaceutyczne	193	70	36	6
nauki o Ziemi i środowisku	4	2	50	1
nauki o administracji	5	2	40	1
nauki o bezpieczeństwie	100	49	49	2
nauki o kulturze fizycznej	125	53	42	6
nauki o mediach	57	4	7	1
nauki o obronności	25	3	12	3
nauki o polityce	334	266	80	2
nauki o poznaniu i komunikacji społecznej	8	2	25	2
nauki o sztuce	39	23	59	4
nauki o zdrowiu	183	97	53	8
oceanologia	25	14	56	2
ochrona i kształtowanie środowiska	101	95	94	2
ochrona środowiska	6	6	100	1
ogrodnictwo	64	58	91	2
pedagogika	277	139	50	4
prawo	588	108	18	24
prawo kanoniczne	15	11	73	2
psychologia	130	109	84	2
religioznawstwo	5	2	40	1
reżyseria dźwięku	9	9	100	1
rybactwo	15	11	73	2
rytmika i taniec	7	7	100	1
socjologia	194	90	46	3
stomatologia	57	22	39	4
sztuki filmowe	23	14	61	2
sztuki piękne	289	189	65	2
sztuki projektowe	92	47	51	2
sztuki teatralne	27	13	48	2
technologia chemiczna	145	136	94	3
technologia żywności i żywienia	174	167	96	1
telekomunikacja	43	25	58	2
teologia	122	116	95	2
towaroznawstwo	43	41	95	2
transport	80	60	75	2
weterynaria	123	121	98	2
wokalistyka	48	47	98	1
włókiennictwo	30	7	23	2
zarządzanie	422	383	91	3
zootechnika	94	85	90	2
