Liczba członków CK w KH	Imię habilitant(a/ka)	Nazwisko habilitant(a/ki)	nr postępowania	dziedzina	url	Członkowie CK			
4	IWONA	STANIEC	2-L-6019-2011	dz. nauk ekonomicznych	Other source	Adam Budnikowski	Bogdan Nogalski	Maria Romanowska	Ryszard Borowiecki
4	JAROSŁAWA	POTERAJ	2-L-60-2011	dz. nauk ekonomicznych	Other source	Andrzej Wojtyna	Krzysztof Jajuga	Marian Gorynia	Stanisław Owsiak
4	AGNIESZKA	ZAKRZEWSKA	2-L-6013-2011	dz. nauk ekonomicznych	Other source	Bogdan Nogalski	Jan Lichtarski	Maria Romanowska	Ryszard Borowiecki
4	GRZEGORZ	MICHALSKI	3-L-6001-2011	dz. nauk ekonomicznych	Other source	Bogdan Nogalski	Emil Panek	Ryszard Borowiecki	Stanisław Owsiak
4	MICHAŁ	BRZOZA-BRZEZINA	2-L-6130-2011	dz. nauk ekonomicznych	Other source	Andrzej Wojtyna	Bogdan Nogalski	Krzysztof Jajuga	Stanisław Owsiak
4	JACEK	KOPEĆ	2-L-6652-2012	dz. nauk ekonomicznych	Other source	Bogdan Nogalski	Czesław Domański	Krzysztof Jajuga	Maria Romanowska
4	EDYTA	TABASZEWSKA	2-L-6342-2012	dz. nauk ekonomicznych	Other source	Bogdan Nogalski	Jan Jasiczak	Maria Romanowska	Ryszard Borowiecki
4	MARIA	NIEWIADOMA	2-L-6001-2012	dz. nauk ekonomicznych	Other source	Czesław Domański	Maria Romanowska	Ryszard Borowiecki	Stanisław Owsiak
4	JAN	CHADAM	2-L-629-2012	dz. nauk ekonomicznych	Other source	Bogdan Nogalski	Jan Lichtarski	Krzysztof Jajuga	Maria Romanowska
4	PIOTR	SOJA	2-L-6294-2012	dz. nauk ekonomicznych	Other source	Czesław Domański	Jan Jasiczak	Krzysztof Jajuga	Ryszard Tadeusiewicz
4	MAREK	JABŁOŃSKI	2-L-6234-2012	dz. nauk ekonomicznych	Other source	Bogdan Nogalski	Jan Lichtarski	Maria Romanowska	Marian Gorynia
4	ŁUKASZ	DELONG	2-L-6481-2012	dz. nauk ekonomicznych	Other source	Czesław Domański	Emil Panek	Krzysztof Jajuga	Stanisław Owsiak
4	EUGENIUSZ	KĄCIAK	2-L-6148-2012	dz. nauk ekonomicznych	Other source	Andrzej Lisowski	Bogdan Nogalski	Krzysztof Jajuga	Ryszard Borowiecki
4	ANNA	SANKOWSKA	3-L-6032-2011	dz. nauk ekonomicznych	Other source	Bogdan Nogalski	Jan Lichtarski	Maria Romanowska	Ryszard Borowiecki
4	MAGDALENA	PICHLAK	2-L-6145-2012	dz. nauk ekonomicznych	Other source	Bogdan Nogalski	Jan Lichtarski	Maria Romanowska	Ryszard Borowiecki
4	WALDEMAR	GIL	2-L-6314-2012	dz. nauk ekonomicznych	Other source	Andrzej Sławiński	Bogdan Nogalski	Ryszard Borowiecki	Stanisław Owsiak
4	JOANNA	HAWLEN	2-L-6667-2012	dz. nauk ekonomicznych	Other source	Adam Budnikowski	Bogdan Nogalski	Maria Romanowska	Ryszard Borowiecki
4	PRZEMYSŁAW	ZBIEROWSKI	2-L-6283-2013	dz. nauk ekonomicznych	Other source	Bogdan Nogalski	Czesław Domański	Jan Jasiczak	Maria Romanowska
4	PIOTR	WACHOWIAK	2-L-7022-2013	dz. nauk ekonomicznych	https://www.ck.gov.pl/dl/75873/attachment/5b9449/Wachowiak%20Piotr.pdf	Bogdan Nogalski	Jan Jasiczak	Mariusz Bratnicki	Ryszard Borowiecki
4	JANUSZ	ZAWIŁA-NIEDŹWIECKI	2-L-6339-2013	dz. nauk ekonomicznych	https://www.ck.gov.pl/dl/74549/attachment/00accb/Zawila%20Niedzwiecki%20Janusz.pdf	Bogdan Nogalski	Maria Romanowska	Mariusz Bratnicki	Ryszard Borowiecki
4	MAŁGORZATA	GOLIŃSKA-PIESZYŃSKA	2-L-7030-2013	dz. nauk ekonomicznych	https://www.ck.gov.pl/dl/63832/attachment/e40d0c/Decyzja.pdf	Maria Romanowska	Mariusz Bratnicki	Ryszard Borowiecki	Witold Jurek
4	TERESA	ORZESZKO	2-L-6607-2013	dz. nauk ekonomicznych	https://www.ck.gov.pl/dl/73666/attachment/db63c2/Orzeszko%20Teresa.pdf	Andrzej Wojtyna	Małgorzata Zaleska	Stanisław Owsiak	Wiesława Przybylska-Kapuścińska
4	MONIKA	STANNY	2-L-6901-2013	dz. nauk ekonomicznych	https://www.ck.gov.pl/dl/73732/attachment/62c380/Stanny%20Monika.pdf	Andrzej Czyżewski	Andrzej Wojtyna	Czesław Domański	Tadeusz Stryjakiewicz
4	KATARZYNA	ŚLEDZIEWSKA	2-L-6723-2012	dz. nauk ekonomicznych	Other source	Andrzej Czyżewski	Czesław Domański	Krzysztof Jajuga	Tadeusz Stryjakiewicz
4	ALINA	KOZARKIEWICZ	2-L-6003-2013	dz. nauk ekonomicznych	Other source	Bogdan Nogalski	Krzysztof Jajuga	Maria Romanowska	Ryszard Borowiecki
4	MAŁGORZATA	MARKOWSKA	2-L-6312-2013	dz. nauk ekonomicznych	Other source	Andrzej Czyżewski	Czesław Domański	Mariusz Bratnicki	Witold Jurek
4	PIOTR	RUSSEL	2-L-6662-2013	dz. nauk ekonomicznych	https://www.ck.gov.pl/dl/73122/attachment/50dd27/Russel%20Piotr.pdf	Bogdan Nogalski	Krzysztof Jajuga	Stanisław Owsiak	Wiesława Przybylska-Kapuścińska
