#imię,nazwisko,przew.,sekr.,rec_hab.,człon.,rec_prof.,razem,kiedykolwiek w CK,sc. field 22
Bogusław,Buszewski,63,0,5,0,3,71,1,Chemistry
Andrzej,Mackiewicz,38,0,16,5,9,68,1,Clinical Medicine
Grzegorz,Bartosz,31,0,6,2,3,42,1,Biomedical Research
Paweł,Koteja,39,0,0,0,1,40,1,Biology
Jerzy,Klamka,37,0,2,0,0,39,1,Engineering
Piotr,Szefer,22,0,7,3,2,34,1,Earth & Environmental Sciences
Paweł,Kulesza,22,0,9,0,2,33,1,Enabling & Strategic Technologies
Adam,Proń,27,0,2,0,3,32,1,Physics & Astronomy
Jerzy,Lewandowski,0,1,16,7,7,31,0,Enabling & Strategic Technologies
Jerzy,Bałdyga,22,0,7,0,0,29,1,Engineering
Andrzej,Dąbrowski,3,0,11,9,4,27,0,Physics & Astronomy
Stanisław,Czuczwar,8,0,8,2,8,26,1,Clinical Medicine
Piotr,Stepnowski,0,0,15,2,9,26,0,Chemistry
Józef,Dulak,1,0,17,2,5,25,0,Clinical Medicine
Roman,Kaliszan,0,0,17,1,7,25,0,Chemistry
Jolanta,Małyszko,8,0,6,2,7,23,1,Clinical Medicine
Tadeusz,Peryt,22,0,0,1,0,23,1,Earth & Environmental Sciences
Jacek,Namieśnik,16,0,2,0,5,23,1,Chemistry
Jacek,Jassem,10,0,3,2,7,22,0,Clinical Medicine
Teofil,Jesionowski,0,0,10,0,11,21,0,Chemistry
Antoni,Rogalski,10,0,1,1,8,20,1,Physics & Astronomy
Jacek,Nawrocki,10,0,5,0,5,20,1,Chemistry
Jacek,Waluk,1,0,13,0,6,20,0,Physics & Astronomy
Robert,Hołyst,4,0,9,1,6,20,0,Physics & Astronomy
Marek,Cieplak,1,1,11,1,6,20,0,Physics & Astronomy
Krzysztof,Pielichowski,3,0,11,1,4,19,0,Chemistry
Marek,Kowalski,2,2,10,3,2,19,0,Physics & Astronomy
Tomasz,Brzozowski,11,0,3,1,2,17,1,Clinical Medicine
Krzysztof,Narkiewicz,3,0,4,6,4,17,0,Clinical Medicine
Marek,Sikora,0,2,10,3,2,17,0,Physics & Astronomy
Roman,Dąbrowski,1,1,9,1,4,16,0,Physics & Astronomy
Andrzej,Lewandowski,0,0,9,3,3,15,0,Physics & Astronomy
Andrzej,Czerwiński,0,2,7,4,1,14,0,Enabling & Strategic Technologies
Marek,Trojanowicz,0,2,4,1,7,14,0,Chemistry
Maciej,Banach,1,0,4,5,4,14,0,Clinical Medicine
Marek,Godlewski,1,1,7,1,3,13,0,Physics & Astronomy
Anna,Członkowska,5,0,4,0,4,13,0,Clinical Medicine
Ryszard,Romaniuk,0,0,5,7,1,13,0,Physics & Astronomy
Leszek,Kaczmarek,0,1,5,0,7,13,0,Chemistry
Wojciech,Broniowski,1,2,5,0,4,12,0,Physics & Astronomy
Piotr,Bożek,0,0,6,4,2,12,0,Physics & Astronomy
Jacek,Szepietowski,1,0,6,1,4,12,0,Clinical Medicine
Robert,Moszyński,1,4,3,3,1,12,0,Physics & Astronomy
Stefan,Lis,0,0,8,0,4,12,0,Enabling & Strategic Technologies
Michał,Cyrański,0,0,9,0,3,12,0,Chemistry
Janusz,Bujnicki,1,0,5,1,4,11,0,Biomedical Research
Elżbieta,Frąckowiak,2,0,6,0,3,11,0,Enabling & Strategic Technologies
Krzysztof,Kurzydłowski,1,0,6,0,4,11,0,Enabling & Strategic Technologies
