#imię	nazwisko	N	kadencje	sekcja	rank	rank_CK	rank_no_CK	dyscyplina	afiliacja
Elżbieta	Mańczak-Wohlfeld	142	3	1	1	1	0	językoznawstwo	Uniwersytet Jagielloński w Krakowie
Konstanty	Wojtaszczyk	134	3	1	2	2	0	nauki o polityce	Uniwersytet Warszawski
Wojciech	Chlebda	129	2	1	3	3	0	językoznawstwo	Uniwersytet Opolski
Andrzej	Antoszewski	126	3	1	4	4	0	nauki o polityce	Uniwersytet Wrocławski
Maria	Wojtak	118	3	1	5	5	0	językoznawstwo	Uniwersytet Marii Curie-Skłodowskiej w Lublinie
Andrzej	Banachowicz	104	3	7	6	6	0	sztuki piękne	Uniwersytet Artystyczny w Poznaniu
Tomasz	Schramm	99	2	1	7	7	0	historia	Uniwersytet im. Adama Mickiewicza w Poznaniu
Zdzisław	Targoński	98	3	3	8	8	0	biotechnologia	Uniwersytet Przyrodniczy w Lublinie
Janusz	Mroczka	91	2	6	9	9	0	elektronika	Politechnika Wrocławska
Józef	Gawlik	87	2	6	10	10	0	budowa i eksploatacja maszyn	Politechnika Krakowska im.Tadeusza Kościuszki
Janusz	Kacprzyk	83	2	6	11	11	0	informatyka	Instytut Badań Systemowych Polskiej Akademi Nauk w Warszawie
Janusz	Jeżowiecki	82	2	6	12	12	0	inżynieria środowiska	Politechnika Wrocławska
Józef	Korbicz	82	2	6	13	13	0	automatyka i robotyka	Uniwersytet Zielonogórski
Krzysztof	Jajuga	80	3	2	14	14	0	ekonomia	Uniwersytet Ekonomiczny we Wrocławiu
Maria	Romanowska	79	3	2	15	15	0	nauki o zarządzaniu	Szkoła Główna Handlowa w Warszawie
Leszek	Rutkowski	78	3	6	16	16	0	informatyka	Politechnika Częstochowska
Bogdan	Nogalski	78	2	2	17	17	0	nauki o zarządzaniu	Uniwersytet Gdański
Witold	Jurek	76	2	2	18	18	0	ekonomia	Uniwersytet Ekonomiczny w Poznaniu
Mariusz	Bratnicki	75	2	2	19	19	0	nauki o zarządzaniu	Uniwerytet Ekonomiczny w Katowicach
Krzysztof	Mikulski	74	3	1	20	20	0	historia	Uniwersytet Mikołaja Kopernika w Toruniu
Agnieszka	Kijewska	73	2	1	21	21	0	filozofia	Katolicki Uniwersytet Lubelski Jana Pawła II
Piotr	Kusiewicz	69	3	7	22	22	0	wokalistyka	Akademia Muzyczna im. Stanisława Moniuszki w Gdańsku
Zofia	Szweykowska-Kulińska	69	3	3	23	23	0	biologia	Uniwersytet im. Adama Mickiewicza w Poznaniu
Józef	Szmeja	66	2	3	24	24	0	ekologia	Uniwersytet Gdański
Andrzej	Wojtyna	64	3	2	25	25	0	ekonomia	Uniwersytet Ekonomiczny w Krakowiea
Anna	Wesołowska-Firlej	64	2	7	26	26	0	instrumentalistyka	Akademia Muzyczna im. Grażyny i Kiejstuta Bacewiczów w Łodzi
Bogusław	Buszewski	63	2	5	27	27	0	chemia	Uniwersytet Mikołaja Kopernika w Toruniu
