#imię	nazwisko	N	kadencje	sekcja	rank	rank_CK	rank_no_CK	dyscyplina	afiliacja
Bogdan	Nogalski	44	2	2	1	1	0	nauki o zarządzaniu	Uniwersytet Gdański
Krzysztof	Jajuga	37	3	2	2	2	0	ekonomia	Uniwersytet Ekonomiczny we Wrocławiu
Jan	Czekaj	31	0	0	3	0	1		
Maria	Romanowska	29	3	2	4	3	0	nauki o zarządzaniu	Szkoła Główna Handlowa w Warszawie
Jacek	Osiewalski	25	1	2	5	4	0	ekonomia	Uniwersytet Ekonomiczny w Krakowie
Czesław	Domański	23	2	2	6	5	0	ekonomia	Uniwersytet Łódzki
Jerzy	Wilkin	22	0	0	7	0	2		
Stanisław	Owsiak	20	2	2	8	6	0	ekonomia	Uniwersytet Ekonomiczny w Krakowie
Michał	Woźniak	20	0	0	9	0	3		
Józef	Górniewicz	19	0	0	10	0	4		
Ewa	Marciniak	19	0	0	11	0	5		
Paweł	Nowak	19	0	0	12	0	6		
Zbigniew	Szot	19	0	0	13	0	7		
Ryszard	Tadeusiewicz	18	1	6	14	7	0	automatyka i robotyka	Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie
Tadeusz	Borys	18	0	0	15	0	8		
Wiesław	Gruszecki	18	0	0	16	0	9		
Andrzej	Seweryn	18	0	0	17	0	10		
Ryszard	Borowiecki	17	2	2	18	8	0	nauki o zarządzaniu	Uniwersytet Ekonomiczny w Krakowie
Witold	Jurek	17	2	2	19	9	0	ekonomia	Uniwersytet Ekonomiczny w Poznaniu
Janusz	Limon	17	2	4	20	10	0	biologia medyczna	Gdański Uniwersytet Medyczny
Józef	Dulak	17	0	0	21	0	11		
Wojciech	Dyduch	17	0	0	22	0	12		
Roman	Kaliszan	17	0	0	23	0	13		
Dariusz	Zarzecki	17	0	0	24	0	14		
Andrzej	Mackiewicz	16	3	4	25	11	0	medycyna	Uniwersytet Medyczny w Poznaniu
Krzysztof	Marchelek	16	1	6	26	12	0	budowa i eksploatacja maszyn	Zachodniopomorski Uniwersytet Technologiczny w Szczecinie
Zbigniew	Adamczyk	16	0	0	27	0	15		
Janusz	Adamowski	16	0	0	28	0	16		
Krzysztof	Bielawski	16	0	0	29	0	17		
Jacek	Kluska	16	0	0	30	0	18		
Jerzy	Lewandowski	16	0	0	31	0	19		
Krystyna	Mazurek-Łopacińska	16	0	0	32	0	20		
Eugeniusz	Mokrzycki	16	0	0	33	0	21		
Jacek	Roliński	16	0	0	34	0	22		
Marian	Szczerek	16	0	0	35	0	23		
Maria	Sąsiadek	16	0	0	36	0	24		
Marek	Wojtukiewicz	16	0	0	37	0	25		
Andrzej	Banachowicz	15	3	7	38	13	0	sztuki piękne	Uniwersytet Artystyczny w Poznaniu
Zofia	Berdychowska	15	0	0	39	0	26		
Anna	Boroń-Kaczmarska	15	0	0	40	0	27		
Piotr	Kisała	15	0	0	41	0	28		
Maria	Kopertyńska	15	0	0	42	0	29		
Ryszard	Kornijów	15	0	0	43	0	30		
Andrzej	Kowalczyk	15	0	0	44	0	31		
Jerzy	Merkisz	15	0	0	45	0	32		
Aleksander	Nalaskowski	15	0	0	46	0	33		
Krystyna	Olczyk	15	0	0	47	0	34		
Marek	Pietraś	15	0	0	48	0	35		
Aleksy	Pocztowski	15	0	0	49	0	36		
Ewa	Stańczyk-Hugiet	15	0	0	50	0	37		
Piotr	Stepnowski	15	0	0	51	0	38		
Mirosław	Szreder	15	0	0	52	0	39		
Agnieszka	Zakrzewska-Bielawska	15	0	0	53	0	40		
Andrzej	Czyżewski	14	2	2	54	14	0	ekonomia	Uniwersytet Ekonomiczny w Poznaniu
Bogusław	Fiedor	14	1	2	55	15	0	ekonomia	Uniwersytet Ekonomiczny we Wrocławiu
Jan	Lichtarski	14	1	2	56	16	0	nauki o zarządzaniu	Uniwersytet Ekonomiczny we Wrocławiu
Michał	Ciałkowski	14	0	0	57	0	41		
Józef	Dziechciarz	14	0	0	58	0	42		
Aldona	Glińska-Neweś	14	0	0	59	0	43		
Włodzimierz	Grajek	14	0	0	60	0	44		
Krzysztof	Jankowski	14	0	0	61	0	45		
Iryna	Kotowska	14	0	0	62	0	46		
Wojciech	Kozubski	14	0	0	63	0	47		
Marek	Kurzyński	14	0	0	64	0	48		
Agnieszka	Merkisz-Guranowska	14	0	0	65	0	49		
Jerzy	Pałka	14	0	0	66	0	50		
Ewaryst	Rafajłowicz	14	0	0	67	0	51		
Janusz	Rak	14	0	0	68	0	52		
Ryszard	Rapacki	14	0	0	69	0	53		
Aleksander Romuald	Sieroń	14	0	0	70	0	54		
Tadeusz	Sławek	14	0	0	71	0	55		
Piotr	Urbański	14	0	0	72	0	56		
Piotr	Wachowiak	14	0	0	73	0	57		
Marek	Wilczyński	14	0	0	74	0	58		
Anna	Zielińska-Głębocka	14	0	0	75	0	59		
Teresa	Łoś-Nowak	14	0	0	76	0	60		
Andrzej	Łyda	14	0	0	77	0	61		
Szymon	Cyfert	13	1	2	78	17	0	nauki o zarządzaniu	Uniwersytet Ekonomiczny w Poznaniu
Jan	Pachecka	13	1	4	79	18	0	nauki farmaceutyczne	Warszawski Uniwersytet Medyczny
Krzysztof	Strojek	13	1	4	80	19	0	medycyna	Śląski Uniwersytet Medyczny w Katowicach
Tomasz	Winnicki	13	1	6	81	20	0	inżynieria środowiska	Karkonoska Państwowa Szkoła Wyższa w Jeleniej Górze
Leszek	Berezowski	13	0	0	82	0	62		
Elżbieta	Bielińska	13	0	0	83	0	63		
Andrzej	Budaj	13	0	0	84	0	64		
Tomasz	Bąkowski	13	0	0	85	0	65		
Mirosław	Błaszkiewicz	13	0	0	86	0	66		
Dariusz	Doliński	13	0	0	87	0	67		
Dominik	Dorosz	13	0	0	88	0	68		
Anna	Dąbrowska	13	0	0	89	0	69		
Jan	Fiedurek	13	0	0	90	0	70		
Agnieszka	Gromkowska-Melosik	13	0	0	91	0	71		
Zbigniew	Hubicki	13	0	0	92	0	72		
Janusz	Kasperczyk	13	0	0	93	0	73		
Krzysztof	Krawiec	13	0	0	94	0	74		
