#imię,nazwisko,N,kadencje,sekcja,rank,rank_CK,rank_no_CK,dyscyplina,afiliacja
Bogdan,Nogalski,52,2,2,1,1,0,nauki o zarządzaniu,Uniwersytet Gdański
Krzysztof,Jajuga,37,3,2,2,2,0,ekonomia,Uniwersytet Ekonomiczny we Wrocławiu
Wiesław,Gruszecki,34,0,0,3,0,1,,
Jan,Czekaj,33,0,0,4,0,2,,
Jerzy,Wilkin,32,0,0,5,0,3,,
Andrzej,Seweryn,31,0,0,6,0,4,,
Maria,Romanowska,29,3,2,7,3,0,nauki o zarządzaniu,Szkoła Główna Handlowa w Warszawie
Jacek,Osiewalski,29,1,2,8,4,0,ekonomia,Uniwersytet Ekonomiczny w Krakowie
Zbigniew,Szot,29,0,0,9,0,5,,
Czesław,Domański,27,2,2,10,5,0,ekonomia,Uniwersytet Łódzki
Krzysztof,Marchelek,27,1,6,11,6,0,budowa i eksploatacja maszyn,Zachodniopomorski Uniwersytet Technologiczny w Szczecinie
Wojciech,Dyduch,27,0,0,12,0,6,,
Józef,Górniewicz,27,0,0,13,0,7,,
Paweł,Nowak,27,0,0,14,0,8,,
Wojciech,Kozubski,26,0,0,15,0,9,,
Jerzy,Pałka,26,0,0,16,0,10,,
Jacek,Roliński,26,0,0,17,0,11,,
Maria,Sąsiadek,26,0,0,18,0,12,,
Michał,Woźniak,26,0,0,19,0,13,,
Andrzej,Mackiewicz,25,3,4,20,7,0,medycyna,Uniwersytet Medyczny w Poznaniu
Stanisław,Owsiak,25,2,2,21,8,0,ekonomia,Uniwersytet Ekonomiczny w Krakowie
Tadeusz,Borys,25,0,0,22,0,14,,
Jacek,Kluska,25,0,0,23,0,15,,
Ryszard,Tadeusiewicz,24,1,6,24,9,0,automatyka i robotyka,Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie
Roman,Kaliszan,24,0,0,25,0,16,,
Andrzej,Kowalczyk,24,0,0,26,0,17,,
Janusz,Rak,24,0,0,27,0,18,,
Jerzy,Samochowiec,24,0,0,28,0,19,,
Piotr,Stepnowski,24,0,0,29,0,20,,
Andrzej,Zając,24,0,0,30,0,21,,
Janusz,Mroczka,23,2,6,31,10,0,elektronika,Politechnika Wrocławska
Krzysztof,Bielawski,23,0,0,32,0,22,,
Jerzy,Lewandowski,23,0,0,33,0,23,,
Wojciech,Kacalak,22,1,6,34,11,0,budowa i eksploatacja maszyn,Politechnika Koszalińska
Jerzy,Choma,22,0,0,35,0,24,,
Michał,Ciałkowski,22,0,0,36,0,25,,
Józef,Dulak,22,0,0,37,0,26,,
Katarzyna,Mizia-Stec,22,0,0,38,0,27,,
Eugeniusz,Mokrzycki,22,0,0,39,0,28,,
Piotr,Paneth,22,0,0,40,0,29,,
Marek,Wojtukiewicz,22,0,0,41,0,30,,
Jan,Pachecka,21,1,4,42,12,0,nauki farmaceutyczne,Warszawski Uniwersytet Medyczny
Jerzy,Łukaszewicz,21,1,7,43,13,0,sztuki filmowe,Uniwersytet Śląski w Katowicach
Włodzimierz,Grajek,21,0,0,44,0,31,,
Teofil,Jesionowski,21,0,0,45,0,32,,
Mieczysław,Kuczma,21,0,0,46,0,33,,
Hanna,Obarska-Pempkowiak,21,0,0,47,0,34,,
Aleksy,Pocztowski,21,0,0,48,0,35,,
Jan,Skowroński,21,0,0,49,0,36,,
Stanisław,Szczepański,21,0,0,50,0,37,,
Marian,Szczerek,21,0,0,51,0,38,,
Grzegorz,Węgrzyn,20,2,3,52,14,0,biologia,Uniwersytet Gdański
Jan,Lichtarski,20,1,2,53,15,0,nauki o zarządzaniu,Uniwersytet Ekonomiczny we Wrocławiu
Krzysztof,Strojek,20,1,4,54,16,0,medycyna,Śląski Uniwersytet Medyczny w Katowicach
Zbigniew,Adamczyk,20,0,0,55,0,39,,
Wojciech,Batko,20,0,0,56,0,40,,
Andrzej,Bator,20,0,0,57,0,41,,
Tadeusz,Bohdal,20,0,0,58,0,42,,
Andrzej,Budaj,20,0,0,59,0,43,,
