#imię,nazwisko,N,kadencje,sekcja,rank,rank_CK,rank_no_CK,dyscyplina,afiliacja
Janusz,Mroczka,18,2,6,1,1,0,elektronika,Politechnika Wrocławska
Jerzy,Łukaszewicz,16,1,7,2,2,0,sztuki filmowe,Uniwersytet Śląski w Katowicach
Wiesław,Gruszecki,16,0,0,3,0,1,,
Stanisław,Szczepański,16,0,0,4,0,2,,
Przemysław,Nowacki,15,0,0,5,0,3,,
Janusz,Gajda,14,0,0,6,0,4,,
Mariusz,Zimmer,14,0,0,7,0,5,,
Tomasz,Mach,13,1,4,8,3,0,medycyna,Uniwersytet Jagielloński w Krakowie
Maciej,Wojtyszko,13,1,7,9,4,0,sztuki teatralne,Akademia Teatralna im. Aleksandra Zelwerowicza w Warszawie
Maciej,Jarosz,13,0,0,10,0,6,,
Mieczysław,Kuczma,13,0,0,11,0,7,,
Katarzyna,Mizia-Stec,13,0,0,12,0,8,,
Andrzej,Seweryn,13,0,0,13,0,9,,
Józefa,Wiater,13,0,0,14,0,10,,
Wiesław,Sawicki,12,1,4,15,5,0,nauki farmaceutyczne,Gdański Uniwersytet Medyczny
Andrzej,Czernikiewicz,12,0,0,16,0,11,,
Wojciech,Kozubski,12,0,0,17,0,12,,
Piotr,Paneth,12,0,0,18,0,13,,
Jerzy,Pałka,12,0,0,19,0,14,,
Jerzy,Samochowiec,12,0,0,20,0,15,,
Kazimierz,Szymański,12,0,0,21,0,16,,
Krzysztof,Marchelek,11,1,6,22,6,0,budowa i eksploatacja maszyn,Zachodniopomorski Uniwersytet Technologiczny w Szczecinie
Bogdan,Ciszek,11,0,0,23,0,17,,
Zbigniew,Gnutek,11,0,0,24,0,18,,
Teofil,Jesionowski,11,0,0,25,0,19,,
Hanna,Obarska-Pempkowiak,11,0,0,26,0,20,,
Zbigniew,Paszkowski,11,0,0,27,0,21,,
Jerzy,Sikora,11,0,0,28,0,22,,
Piotr,Socha,11,0,0,29,0,23,,
Marek,Synder,11,0,0,30,0,24,,
Andrzej,Zając,11,0,0,31,0,25,,
Danuta,Zwolińska,11,0,0,32,0,26,,
Wojciech,Kacalak,10,1,6,33,7,0,budowa i eksploatacja maszyn,Politechnika Koszalińska
Andrzej,Materka,10,1,6,34,8,0,elektronika,Politechnika Łódzka
Andrzej,Baranowski,10,0,0,35,0,27,,
Jerzy,Choma,10,0,0,36,0,28,,
Andrzej,Chwalba,10,0,0,37,0,29,,
Danuta,Czarnecka,10,0,0,38,0,30,,
Wojciech,Dyduch,10,0,0,39,0,31,,
Jacek,Dyrzyński,10,0,0,40,0,32,,
Piotr,Gałecki,10,0,0,41,0,33,,
Zbigniew,Gronostajski,10,0,0,42,0,34,,
Jacek,Jagielski,10,0,0,43,0,35,,
Beata,Karakiewicz,10,0,0,44,0,36,,
Jarosław,Kaźmierczak,10,0,0,45,0,37,,
Kamil,Kuskowski,10,0,0,46,0,38,,
Władysław,Lasoń,10,0,0,47,0,39,,
Piotr,Lipiec,10,0,0,48,0,40,,
Jacek,Morzycki,10,0,0,49,0,41,,
Piotr,Przybyłowski,10,0,0,50,0,42,,
Janusz,Rak,10,0,0,51,0,43,,
Jacek,Roliński,10,0,0,52,0,44,,
Marcin,Roszkowski,10,0,0,53,0,45,,
Janusz,Ryczkowski,10,0,0,54,0,46,,
Stanisław,Ryng,10,0,0,55,0,47,,
Jacek,Sobczak,10,0,0,56,0,48,,
Rafał,Strent,10,0,0,57,0,49,,
Zbigniew,Szot,10,0,0,58,0,50,,
Maria,Sąsiadek,10,0,0,59,0,51,,
Wiesław,Trąmpczyński,10,0,0,60,0,52,,
Jerzy,Wilkin,10,0,0,61,0,53,,
Stanisław,Winiarczyk,10,0,0,62,0,54,,
Andrzej,Wysokiński,10,0,0,63,0,55,,
Arkadiusz,Żukowski,10,0,0,64,0,56,,
Andrzej,Mackiewicz,9,3,4,65,9,0,medycyna,Uniwersytet Medyczny w Poznaniu
Tadeusz,Burczyński,9,1,6,66,10,0,mechanika,Politechnika Śląska
Stanisław,Baran,9,0,0,67,0,57,,
