#imię,nazwisko,N,kadencje,sekcja,rank,rank_CK,rank_no_CK,dyscyplina,afiliacja
Robert,Cieślak,36,0,0,1,0,1,,
Wojciech,Jakubowski,30,0,0,2,0,2,,
Marek,Droździk,29,0,0,3,0,3,,
Mirosława,Cichorek,25,0,0,4,0,4,,
Małgorzata,Schlegel-Zawadzka,21,0,0,5,0,5,,
Małgorzata,Myśliwiec,20,0,0,6,0,6,,
Janusz,Jeżowiecki,17,2,6,7,1,0,inżynieria środowiska,Politechnika Wrocławska
Marek,Trippenbach,17,0,0,8,0,7,,
Ilona,Kurnatowska,16,0,0,9,0,8,,
Renata,Oczkowska,14,0,0,10,0,9,,
Magdalena,Olpińska-Szkiełko,14,0,0,11,0,10,,
Jacek,Zieliński,14,0,0,12,0,11,,
Piotr,Broda-Wysocki,13,0,0,13,0,12,,
Piotr,Budzyński,13,0,0,14,0,13,,
Krzysztof,Szkatuła,13,0,0,15,0,14,,
Artur,Andruszkiewicz,12,0,0,16,0,15,,
Andrzej,Horzela,12,0,0,17,0,16,,
Dariusz,Baczyński,11,0,0,18,0,17,,
Krzysztof,Dasiewicz,11,0,0,19,0,18,,
Waldemar,Górski,11,0,0,20,0,19,,
Lech,Gładysiewicz,11,0,0,21,0,20,,
Alicja,Kledzik,11,0,0,22,0,21,,
Paweł,Kłosowski,11,0,0,23,0,22,,
Jacek,Kurzepa,10,0,0,24,0,23,,
Agnieszka,Kwiatkowska,10,0,0,25,0,24,,
Arkadiusz,Orzechowski,10,0,0,26,0,25,,
Tomasz,Pawłowski,10,0,0,27,0,26,,
Adam,Wojtaszek,10,0,0,28,0,27,,
Wojciech,Dohnal,9,0,0,29,0,28,,
Jolanta,Migdał,9,0,0,30,0,29,,
Iwona,Skrzecz,9,0,0,31,0,30,,
Jerzy,Wojewoda,9,0,0,32,0,31,,
Adam,Babiński,8,0,0,33,0,32,,
Michał,Borys,8,0,0,34,0,33,,
Aleksandra,Chrapowicka,8,0,0,35,0,34,,
Janusz,Dzięcioł,8,0,0,36,0,35,,
Magdalena,Gajewska,8,0,0,37,0,36,,
Barbara,Gawrońska-Szklarz,8,0,0,38,0,37,,
Anna,Gomóła,8,0,0,39,0,38,,
Agata,Gąsiorowska,8,0,0,40,0,39,,
Ewa,Jakubczyk,8,0,0,41,0,40,,
Tomasz,Komorowski,8,0,0,42,0,41,,
Urszula,Kosior-Korzecka,8,0,0,43,0,42,,
Jan,Kulpa,8,0,0,44,0,43,,
Iwona,Melson,8,0,0,45,0,44,,
Bogusz,Mikuła,8,0,0,46,0,45,,
Jacek,Nowakowski,8,0,0,47,0,46,,
Sławomir,Patyra,8,0,0,48,0,47,,
Jacek,Romanowski,8,0,0,49,0,48,,
Małgorzata,Sokołowska-Wojdyło,8,0,0,50,0,49,,
Beata,Stanisz,8,0,0,51,0,50,,
Sylwia,Słotwińska,8,0,0,52,0,51,,
Marcin,Tomczak,8,0,0,53,0,52,,
Dorota,Urbanek,8,0,0,54,0,53,,
Grzegorz,Wnęk,8,0,0,55,0,54,,
Jan,Zarzycki,8,0,0,56,0,55,,
Piotr,Zieliński,8,0,0,57,0,56,,
Jakub,Adamczyk,7,0,0,58,0,57,,
Stanisław,Belniak,7,0,0,59,0,58,,
Mariusz,Czubaj,7,0,0,60,0,59,,
Jarosław,Dobkowski,7,0,0,61,0,60,,
Waldemar,Gliński,7,0,0,62,0,61,,
Monika,Jakubek-Raczkowska,7,0,0,63,0,62,,
Przemysław,Kaczmarek,7,0,0,64,0,63,,
Anna,Kantarek,7,0,0,65,0,64,,
Paweł,Kiełpiński,7,0,0,66,0,65,,
Jacek,Kulbaka,7,0,0,67,0,66,,
Ewa,Marciniak,7,0,0,68,0,67,,
Jarosław,Michalski,7,0,0,69,0,68,,
Adam,Miratyński,7,0,0,70,0,69,,
Piotr,Nowak,7,0,0,71,0,70,,
Adam,Papierski,7,0,0,72,0,71,,
Anna,Piaseczna-Piotrowska,7,0,0,73,0,72,,
Monika,Rać,7,0,0,74,0,73,,
Krzysztof,Sobolewski,7,0,0,75,0,74,,
Adam,Solak,7,0,0,76,0,75,,
Denis,Solodov,7,0,0,77,0,76,,
Krzysztof,Turzyński,7,0,0,78,0,77,,
Lidia,Usnarska-Zubkiewicz,7,0,0,79,0,78,,
Katarzyna,Wardin,7,0,0,80,0,79,,
Krzysztof,Wąsowicz,7,0,0,81,0,80,,
Piotr,Zawada,7,0,0,82,0,81,,
Sławomir,Zduńczyk,7,0,0,83,0,82,,
Anita,Adamczyk,6,0,0,84,0,83,,
Maciej,Boguń,6,0,0,85,0,84,,
Rafał,Borcz,6,0,0,86,0,85,,
Daniel,Boćkowski,6,0,0,87,0,86,,
Sławomir,Dykas,6,0,0,88,0,87,,
Krzysztof,Dębicki,6,0,0,89,0,88,,
Mirosława,Ferens-Sieczkowska,6,0,0,90,0,89,,
Małgorzata,Filip,6,0,0,91,0,90,,
Marcin,Ignaczak,6,0,0,92,0,91,,
Monika,Jagielska,6,0,0,93,0,92,,
Małgorzata,Janicka,6,0,0,94,0,93,,
Dorota,Jenerowicz,6,0,0,95,0,94,,
Piotr,Jędrzejewski,6,0,0,96,0,95,,
Krzysztof,Kania,6,0,0,97,0,96,,
Krzysztof,Karbowski,6,0,0,98,0,97,,
Jolanta,Kaszuba-Zwoińska,6,0,0,99,0,98,,
Beata,Kowalska,6,0,0,100,0,99,,
Małgorzata,Kozieradzka-Kiszkurno,6,0,0,101,0,100,,
Tadeusz,Krasiński,6,0,0,102,0,101,,
Grzegorz,Lentka,6,0,0,103,0,102,,
Małgorzata,Lipowska,6,0,0,104,0,103,,
Paweł,Majewski,6,0,0,105,0,104,,
Anna,Malina,6,0,0,106,0,105,,
Ewa,Marchwicka,6,0,0,107,0,106,,
Seweryn,Miga,6,0,0,108,0,107,,
Michał,Minor,6,0,0,109,0,108,,
Aleksandra,Misicka-Kęsik,6,0,0,110,0,109,,
Joanna,Mysona-Byrska,6,0,0,111,0,110,,
Grzegorz,Nowicki,6,0,0,112,0,111,,
Arkadiusz,Olech,6,0,0,113,0,112,,
Celina,Olszak,6,0,0,114,0,113,,
Andrzej,Pacak,6,0,0,115,0,114,,
Krzysztof,Pieńkosz,6,0,0,116,0,115,,
Janusz,Podleśny,6,0,0,117,0,116,,
Maria,Pokrzywińska,6,0,0,118,0,117,,
Daniel,Przastek,6,0,0,119,0,118,,
Sylwester,Robak,6,0,0,120,0,119,,
Rafał,Różalski,6,0,0,121,0,120,,
