imię,nazwisko,razem,przewodniczący,sekretarz,członek,recenz. prof.,recenz. hab.,,kadencje,sekcja CK,dyscyplina,afiliacja
Elżbieta,Mańczak-Wohlfeld,143,142,0,0,0,1,,3,1,językoznawstwo,Uniwersytet Jagielloński w Krakowie
Bogdan,Nogalski,138,78,0,8,8,44,,2,2,nauki o zarządzaniu,Uniwersytet Gdański
Konstanty,Wojtaszczyk,135,134,0,1,0,0,,3,1,nauki o polityce,Uniwersytet Warszawski
Wojciech,Chlebda,130,129,0,0,0,1,,2,1,językoznawstwo,Uniwersytet Opolski
Andrzej,Antoszewski,127,126,0,0,0,1,,3,1,nauki o polityce,Uniwersytet Wrocławski
Maria,Wojtak,123,118,0,0,0,5,,3,1,językoznawstwo,Uniwersytet Marii Curie-Skłodowskiej w Lublinie
Krzysztof,Jajuga,121,80,0,4,0,37,,3,2,ekonomia,Uniwersytet Ekonomiczny we Wrocławiu
Andrzej,Banachowicz,120,104,0,1,0,15,,3,7,sztuki piękne,Uniwersytet Artystyczny w Poznaniu
Maria,Romanowska,120,79,0,12,0,29,,3,2,nauki o zarządzaniu,Szkoła Główna Handlowa w Warszawie
Janusz,Mroczka,115,91,0,1,18,5,,2,6,elektronika,Politechnika Wrocławska
Janusz,Jeżowiecki,105,82,17,3,3,0,,2,6,inżynieria środowiska,Politechnika Wrocławska
Zdzisław,Targoński,102,98,0,0,1,3,,3,3,biotechnologia,Uniwersytet Przyrodniczy w Lublinie
Witold,Jurek,100,76,0,7,0,17,,2,2,ekonomia,Uniwersytet Ekonomiczny w Poznaniu
Tomasz,Schramm,99,99,0,0,0,0,,2,1,historia,Uniwersytet im. Adama Mickiewicza w Poznaniu
Mariusz,Bratnicki,96,75,0,16,0,5,,2,2,nauki o zarządzaniu,Uniwerytet Ekonomiczny w Katowicach
Józef,Gawlik,92,87,0,1,0,4,,2,6,budowa i eksploatacja maszyn,Politechnika Krakowska im.Tadeusza Kościuszki
Janusz,Kacprzyk,88,83,0,1,0,4,,2,6,informatyka,Instytut Badań Systemowych Polskiej Akademi Nauk w Warszawie
Andrzej,Wojtyna,86,64,0,12,0,10,,3,2,ekonomia,Uniwersytet Ekonomiczny w Krakowiea
Józef,Korbicz,85,82,0,3,0,0,,2,6,automatyka i robotyka,Uniwersytet Zielonogórski
Leszek,Rutkowski,84,78,0,4,0,2,,3,6,informatyka,Politechnika Częstochowska
Agnieszka,Kijewska,83,73,0,6,0,4,,2,1,filozofia,Katolicki Uniwersytet Lubelski Jana Pawła II
Andrzej,Czyżewski,78,56,0,6,2,14,,2,2,ekonomia,Uniwersytet Ekonomiczny w Poznaniu
Zofia,Szweykowska-Kulińska,77,69,0,1,1,6,,3,3,biologia,Uniwersytet im. Adama Mickiewicza w Poznaniu
Ewa,Bartnik,76,56,1,4,3,12,,3,3,biologia,Uniwersytet Warszawski
Krzysztof,Mikulski,75,74,0,1,0,0,,3,1,historia,Uniwersytet Mikołaja Kopernika w Toruniu
Ryszard,Borowiecki,74,32,0,23,2,17,,2,2,nauki o zarządzaniu,Uniwersytet Ekonomiczny w Krakowie
Czesław,Domański,73,35,0,11,4,23,,2,2,ekonomia,Uniwersytet Łódzki
Bogusław,Buszewski,71,63,0,0,3,5,,2,5,chemia,Uniwersytet Mikołaja Kopernika w Toruniu
Piotr,Kusiewicz,70,69,0,0,0,1,,3,7,wokalistyka,Akademia Muzyczna im. Stanisława Moniuszki w Gdańsku
Stanisław,Owsiak,70,36,0,9,5,20,,2,2,ekonomia,Uniwersytet Ekonomiczny w Krakowie
Andrzej,Mackiewicz,68,38,0,5,9,16,,3,4,medycyna,Uniwersytet Medyczny w Poznaniu
Bogusław,Śliwerski,68,55,0,1,0,12,,3,1,pedagogika,Akademia Pedagogiki Specjalnej im. Marii Grzegorzewskiej w Warszawie
Teresa,Fortuna,67,53,0,6,2,6,,1,3,technologia żywności i żywienia,Uniwersytet Rolniczy im. Hugona Kołłątaja w Krakowie
Józef,Szmeja,67,66,0,1,0,0,,2,3,ekologia,Uniwersytet Gdański
Włodzimierz,Tyburski,67,52,0,3,3,9,,2,1,filozofia,Uniwersytet Mikołaja Kopernika w Toruniu
Szymon,Cyfert,66,47,0,6,0,13,,1,2,nauki o zarządzaniu,Uniwersytet Ekonomiczny w Poznaniu
Anna,Wesołowska-Firlej,65,64,0,0,0,1,,2,7,instrumentalistyka,Akademia Muzyczna im. Grażyny i Kiejstuta Bacewiczów w Łodzi
Andrzej,Bręborowicz,64,54,0,5,1,4,,2,4,biologia medyczna,Uniwersytet Medyczny im. Karola Marcinkowskiego w Poznaniu
Jan,Wiktor,64,54,0,1,2,7,,1,2,nauki o zarządzaniu,Uniwersytet Ekonomiczny w Krakowie
Tomasz,Janowski,62,53,0,2,4,3,,3,3,nauki weterynaryjne,Uniwersytet Warmińsko- Mazurski w Olsztynie
Jacek,Siciński,62,60,0,0,1,1,,2,3,ochrona środowiska,Uniwersytet Łódzki
Ryszard,Słomski,61,34,2,9,6,10,,2,3,biotechnologia,Uniwersytet Przyrodniczy w Poznaniu
Ewa,Łojkowska,61,59,0,0,0,2,,2,3,biochemia,Uniwersytet Gdański
Tomasz,Jasiński,59,54,0,3,0,2,,2,1,historia,Uniwersytet im. Adama Mickiewicza w Poznaniu
Jan,Pachecka,59,27,0,11,8,13,,1,4,nauki farmaceutyczne,Warszawski Uniwersytet Medyczny
Andrzej,Mocek,58,55,0,1,0,2,,3,3,agronomia,Uniwersytet Przyrodniczy w Poznaniu
Tadeusz,Stryjakiewicz,58,44,0,2,0,12,,2,2,geografia,Uniwersytet im.Adama Mickiewicza w Poznaniu
Grzegorz,Węgrzyn,58,38,0,0,8,12,,2,3,biologia,Uniwersytet Gdański
Jerzy,Długoński,57,52,0,1,1,3,,2,3,mikrobiologia,Uniwersytet Łódzki
Wiesława,Przybylska-Kapuścińska,57,44,0,4,0,9,,2,2,finanse,Uniwersytet Ekonomiczny w Poznaniu
Krzysztof,Filipiak,55,4,0,36,8,7,,0,0,,
Grażyna,Pstrokońska-Nawratil,55,54,0,1,0,0,,2,7,kompozycja i teoria muzyki,Akademia Muzyczna im. Karola Lipińskiego we Wrocławiu
Adam,Budnikowski,54,44,0,2,0,8,,2,2,ekonomia,Szkoła Główna Handlowa w Warszawie
Grzegorz,Bujacz,54,52,0,0,1,1,,2,5,biotechnologia,Politechnika Łódzka
